ticket_id,wave,host,requested_on,closed_on,status,replaces_serial,target_serial,requested_by,closed_by,change_window,closure_evidence,notes
CRT-0001,wave-1,session-store-01.corp.hbl.example.com,2026-06-22,2026-07-12,closed,1FD044236DA80BF94C3F762CFEF1D476,EA641776A2D1D9EB933204F0EA3B85D6,b.okonkwo,b.okonkwo,CHG-20260712-C,rescan_verified,closed on owner confirmation at wave cut-off
CRT-0002,wave-1,session-store-04.stage.hbl.example.com,2026-06-22,2026-07-04,closed,A8C2F400DF44AFD0B4E6387710DF950C,372BEA2F480A5DB4153FE03093DC6F37,i.dlamini,f.nakamura,CHG-20260704-B,requester_attested,owner reported done during the wave stand-up
CRT-0003,wave-1,audit-sink-01.corp.hbl.example.com,2026-06-23,2026-07-14,closed,269212CA6BA780C0C94CD6FBC4F3175E,BEBBC8FCDA520976F2ED6830E62583DC,h.vasquez,i.dlamini,CHG-20260714-A,rescan_verified,renewed ahead of the wave deadline
CRT-0004,wave-1,checkout-web-03.corp.hbl.example.com,2026-06-23,2026-07-12,closed,3BD5A0CEB38C3F3E336398701FE7A6B4,4CA7E6550CFF49F3BAB27A29C887E197,e.haavisto,b.okonkwo,CHG-20260712-C,requester_attested,rotated during the standard Tuesday change window
CRT-0005,wave-1,reporting-api-04.corp.hbl.example.com,2026-06-24,2026-07-13,closed,B6627B30D454D315764297CEBB57065B,213F4C4786B5E528B517E77A8BE9155C,h.vasquez,e.haavisto,CHG-20260713-B,rescan_verified,renewed ahead of the wave deadline
CRT-0006,wave-1,session-store-03.dr.hbl.example.com,2026-06-24,2026-07-10,closed,02CD6A5985F991D94B3542D562893371,4EFBF22ECDBE27E7BD663D443C934CFB,g.pettersen,h.vasquez,CHG-20260710-A,rescan_verified,installed with the platform bundle refresh
CRT-0007,wave-1,status-page-03.prod.hbl.example.com,2026-06-24,2026-07-07,closed,FCE4D4CF9DC97FDC825C5A1F91EBBFA2,87F17727433945564C1A318184F72F8D,e.haavisto,e.haavisto,CHG-20260707-C,requester_attested,renewed ahead of the wave deadline
CRT-0008,wave-1,catalog-api-01.dr.hbl.example.com,2026-06-25,2026-07-05,closed,070BF26F4AD160F2CE300ACB409AF511,0B3AC1D3CC2245DBFD5052175AFD5DDF,a.solberg,i.dlamini,CHG-20260705-A,requester_attested,renewed ahead of the wave deadline
CRT-0009,wave-1,billing-api-01.stage.hbl.example.com,2026-06-26,2026-07-20,closed,A2D051C38F8BDFEA6EA95657A1490CCB,7F8FE462FAE192767AEAD15361ECC519,j.karlsson,a.solberg,CHG-20260720-C,rescan_verified,closed on owner confirmation at wave cut-off
CRT-0010,wave-1,admin-console-01.prod.hbl.example.com,2026-06-27,2026-07-07,closed,839070F4147100A68E4D86C852587247,FA8741E35213FFACD69D5EC493F9F1AD,h.vasquez,b.okonkwo,CHG-20260707-B,rescan_verified,"CSR signed by internal CA; listener reloaded"
CRT-0011,wave-1,reporting-api-01.corp.hbl.example.com,2026-06-28,2026-07-06,closed,DF6E44A7A0CE6ECB59C089870694DE7D,FDB44F14E64BB6457F27A72C64FC1DFE,d.fernandes,h.vasquez,CHG-20260706-A,requester_attested,owner reported done during the wave stand-up
CRT-0012,wave-1,search-api-03.corp.hbl.example.com,2026-06-28,2026-07-14,closed,156C55C2C1977760DD4613832A0C6576,AA5D23F1624352AF482DED1D241842E4,c.marchetti,c.marchetti,CHG-20260714-C,rescan_verified,installed with the platform bundle refresh
CRT-0013,wave-1,partner-gw-01.stage.hbl.example.com,2026-06-29,2026-07-09,closed,EE3F78C98D5604D85A6188423C142E96,559B6192BFB97FADAE979B3BC889A1B2,e.haavisto,c.marchetti,CHG-20260709-A,rescan_verified,closed on owner confirmation at wave cut-off
CRT-0014,wave-1,notify-worker-04.prod.hbl.example.com,2026-06-30,2026-07-12,closed,DDF0966A45B093DAB7FB545DF6EA3CCF,819999A7B89456991F627F5314BE1D2C,c.marchetti,h.vasquez,CHG-20260712-C,rescan_verified,"owner confirmed completion by email; queue cleared for wave sign-off"
CRT-0015,wave-1,search-api-02.stage.hbl.example.com,2026-06-30,2026-07-08,closed,41BC20A1A4EF86800D7CD06BA383B83E,2E29219336621169AD606A504CE7CFCF,g.pettersen,i.dlamini,CHG-20260708-C,rescan_verified,rotated during the standard Tuesday change window
CRT-0016,wave-1,admin-console-02.stage.hbl.example.com,2026-07-01,2026-07-16,closed,2E45E866FF9992A8F73BF7B91624FB0D,58257E1BE4716F3A824E79F4CF371EB4,g.pettersen,b.okonkwo,CHG-20260716-A,rescan_verified,rotated during the standard Tuesday change window
CRT-0017,wave-1,admin-console-03.prod.hbl.example.com,2026-07-01,2026-07-20,closed,352112C989A614BCB0D0A2A8B40E5F10,5AF4B81220166ADAD78A266A0B25DE1C,j.karlsson,d.fernandes,CHG-20260720-A,requester_attested,installed with the platform bundle refresh
