SegmentID,Segment,Class,DisplayOrder
S001,Cloud Platform,Core,1
S002,Managed Services,Core,2
S003,Hardware Resale,Legacy,3
S004,Professional Advice,Core,4
S005,Data Products,Emerging,5
S006,Legacy Licensing,Legacy,6
S007,Emerging Markets,Emerging,7
S008,Field Support,Core,8
S009,Security Services,Core,9
S010,Network Infrastructure,Legacy,10
S011,AI Solutions,Emerging,11
S012,Enterprise Integration,Core,12
S013,Storage Systems,Legacy,13
S014,Customer Intelligence,Core,14
S015,Developer Tools,Emerging,15
S016,Managed Hosting,Core,16
S017,Collaboration Software,Core,17
S018,Device Services,Legacy,18
S019,Commerce Enablement,Emerging,19
S020,Data Center Services,Legacy,20
S021,Identity Platform,Core,21
S022,Analytics Services,Core,22
S023,Edge Computing,Emerging,23
S024,Support Subscriptions,Core,24
S025,Mainframe Software,Legacy,25
S026,FinOps Services,Core,26
S027,Industry Cloud,Emerging,27
S028,Professional Training,Core,28
S029,On-Prem Appliances,Legacy,29
S030,Automation Platform,Emerging,30
S031,Connectivity Services,Legacy,31
S032,API Management,Core,32
S033,Observability Platform,Core,33
S034,Digital Workplace,Emerging,34
S035,Database Licensing,Legacy,35
S036,Migration Services,Core,36
S037,Marketplace Revenue,Emerging,37
S038,Technical Consulting,Core,38
S039,Strategic Ventures,Emerging,39
S040,Sunset Products,Legacy,40
